,citynamelist,country,latitude,longitude,temperature,humidity,cloudiness,windspeed,maxtemp
89,Nouakchott,MR,18.0858,-15.9785,78.73,61,11,18.41,78.73
90,Labuan,MY,5.2767,115.2417,80.1,94,20,2.3,80.96
91,West Monroe,US,32.5185,-92.1476,88.88,58,0,3.44,89.6
92,Dingle,PH,10.9995,122.6711,83.77,74,80,8.88,83.77
93,Litovko,RU,49.2361,135.1742,55.78,41,95,12.3,55.78
94,Kidal,ML,18.4411,1.4078,87.22,8,0,6.08,87.22
95,Norman Wells,CA,65.282,-126.8329,50.04,40,40,6.91,50.04
96,Maināguri,IN,26.5667,88.8167,74.23,90,1,6.64,74.23
97,Monywa,MM,22.1167,95.1333,81.34,71,85,8.19,81.34
98,The Valley,AI,18.217,-63.0578,81.03,83,40,17.27,82.26
99,College,US,64.8569,-147.8028,48.09,40,75,6.91,50.07
100,Butaritari,KI,3.0707,172.7902,81.0,77,99,8.37,81.0
101,Spornoye,RU,50.8448,37.2913,43.99,87,94,9.86,43.99
102,São Félix do Xingu,BR,-6.6447,-51.995,76.19,73,34,2.68,76.19
103,Myitkyina,MM,25.3833,97.4,73.11,99,99,0.96,73.11
104,Ust-Maya,RU,60.4167,134.5333,39.6,59,74,6.78,39.6
105,Trairi,BR,-3.2778,-39.2689,74.95,93,86,5.99,74.95
106,Cherskiy,RU,68.75,161.3,22.26,88,99,10.69,22.26
107,Yārāda,IN,17.65,83.2667,80.92,100,75,2.3,80.92
108,Saint Paul Harbor,US,57.79,-152.4072,53.11,40,0,11.5,53.11
109,Alice Springs,AU,-23.7,133.8833,56.75,77,36,0.0,56.75
110,Sioux Lookout,CA,50.1001,-91.917,62.67,31,100,3.44,62.67
111,Ribeira Grande,PT,38.5167,-28.7,59.27,68,78,14.72,59.27
112,Prosvet,RU,55.5703,65.0825,42.84,75,35,8.37,42.84
113,Auki,SB,-8.7676,160.7034,83.88,66,100,1.34,83.88
114,Mlonggo,ID,-6.5333,110.7,80.71,83,100,2.84,80.71
115,Markova,UA,48.6758,24.4138,53.78,82,68,7.9,53.78
116,San Patricio,US,28.017,-97.5169,83.53,62,4,17.54,86.18
117,Ostrovnoy,RU,68.0531,39.5131,41.59,81,100,16.96,41.59
118,Mana,GF,5.6592,-53.7767,77.14,89,20,9.93,77.14
119,Port Alfred,ZA,-33.5906,26.891,59.97,79,0,6.08,59.97
120,Verkhnyaya Inta,RU,65.9811,60.3094,40.77,76,11,5.93,40.77
121,Oranjemund,NA,-28.55,16.4333,54.95,94,0,5.64,54.95
122,Tiksi,RU,71.6872,128.8694,21.78,87,99,6.62,21.78
123,Sauda,NO,59.6506,6.3542,48.69,99,100,7.56,48.69
124,Albany,US,42.6001,-73.9662,68.25,24,0,0.69,77.41
125,São Filipe,CV,14.8961,-24.4956,74.01,75,87,7.99,74.01
126,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,66,0,8.05,53.46
127,Hambantota,LK,6.1241,81.1185,79.36,86,94,17.98,79.36
128,Córdoba,AR,-31.4135,-64.1811,60.49,67,0,5.75,64.24
129,Esperance,AU,-33.8667,121.9,60.64,71,100,7.72,60.64
130,Hilo,US,19.7297,-155.09,78.8,68,75,12.66,85.28
131,Mehrān,IR,33.1222,46.1646,74.89,16,24,7.43,74.89
132,Ponta do Sol,PT,32.6667,-17.1,67.95,80,23,6.24,69.01
133,Aswān,EG,24.0934,32.907,85.3,17,0,9.22,85.3
134,Māngrol,IN,21.1167,70.1167,82.76,80,26,16.89,82.76
135,Hamilton,US,39.1834,-84.5333,82.67,44,0,11.5,85.05
136,Portland,US,45.5234,-122.6762,60.85,45,75,9.22,63.45
137,Lompoc,US,34.6391,-120.4579,58.19,64,0,24.16,67.57
138,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,6.91,80.56
139,Ulladulla,AU,-35.35,150.4667,61.7,96,100,1.88,64.76
140,Shitanjing,CN,39.2342,106.3439,45.82,59,100,8.95,45.82
141,Mehamn,NO,71.0357,27.8492,37.31,98,100,20.33,37.31
142,Nouadhibou,MR,20.931,-17.0347,71.58,78,7,19.57,71.58
143,Magadan,RU,59.5667,150.8,38.53,84,98,3.42,38.53
144,Nanga Eboko,CM,4.6833,12.3667,69.21,99,100,1.86,69.21
145,Dillon,US,34.4166,-79.3712,73.96,62,0,11.81,80.58
146,Zhezkazgan,KZ,47.8043,67.7144,44.58,76,0,11.18,44.58
147,Dikson,RU,73.5069,80.5464,9.48,91,23,5.17,9.48
148,Champerico,GT,14.3,-91.9167,90.14,67,100,6.51,90.14
149,Saint-Joseph,RE,-21.3667,55.6167,70.18,83,53,4.36,70.18
150,Kalianget,ID,-7.05,113.9333,81.97,80,100,2.48,81.97
151,Mayo,US,38.8876,-76.5119,66.13,69,75,6.91,72.01
152,Kununurra,AU,-15.7667,128.7333,78.78,53,90,4.61,78.78
153,Keflavik,IS,64.0049,-22.5624,36.05,87,75,11.5,39.11
154,Half Moon Bay,US,37.4636,-122.4286,58.98,60,0,32.21,67.21
155,San Andrés,CO,12.5847,-81.7006,82.42,83,75,11.5,82.42
156,Pouébo,NC,-20.4,164.5667,77.02,68,100,18.52,77.02
157,Abhā,SA,18.2164,42.5053,64.65,63,0,0.0,66.02
158,Barra de Tecoanapa,MX,16.5167,-98.75,86.31,65,38,5.95,86.31
159,Coyhaique,CL,-45.5752,-72.0662,40.95,87,100,0.0,43.41
160,Krasnyy Chikoy,RU,50.3643,108.7512,39.04,42,91,5.14,39.04
161,Bac Lieu,VN,9.285,105.7244,83.43,75,97,4.14,83.43
162,Avarua,CK,-21.2078,-159.775,82.45,78,75,11.5,82.45
163,Mikuni,JP,36.2171,136.1519,67.91,68,100,4.25,67.91
164,Haines Junction,CA,60.7522,-137.5108,42.75,61,98,2.3,42.75
165,Chokurdakh,RU,70.6333,147.9167,23.79,94,100,13.91,23.79
166,Thompson,CA,55.7435,-97.8558,59.16,44,75,12.66,59.16
167,Kehtna,EE,58.9303,24.8781,42.91,85,100,6.89,42.91
168,Tunceli,TR,39.1083,39.5471,50.38,63,65,2.51,50.38
169,Makkah al Mukarramah,SA,21.4267,39.8261,83.84,26,0,6.02,83.84
170,Xichang,CN,27.8964,102.2634,61.43,85,100,0.63,61.43
171,Matangad,PH,8.5769,124.37,79.77,79,69,2.13,79.77
172,Kiryat Gat,IL,31.61,34.7642,59.92,100,42,3.13,63.39
173,Igarka,RU,67.4667,86.5833,33.28,99,100,8.08,33.28
174,Leningradskiy,RU,69.3833,178.4167,30.24,90,100,7.47,30.24
175,Kennett,US,36.2362,-90.0556,92.77,33,0,0.0,93.15
176,Karratha,AU,-20.7377,116.8463,76.33,42,61,5.84,76.33
177,Rocha,UY,-34.4833,-54.3333,50.81,80,100,6.29,50.81
178,Kungurtug,RU,50.5994,97.5228,35.53,43,48,1.95,35.53
179,Ucluelet,CA,48.9329,-125.5528,47.08,87,100,1.99,47.08
180,Alofi,NU,-19.0595,-169.9187,76.89,22,100,10.36,76.89
181,Dunedin,NZ,-45.8742,170.5036,57.27,55,2,3.33,57.27
182,Ukiah,US,39.1502,-123.2078,60.69,48,0,10.36,65.44
183,Carnarvon,AU,-24.8667,113.6333,73.47,78,100,12.66,73.47
184,Visnes,NO,59.3556,5.2242,48.25,81,75,20.71,48.25
185,Melville,US,40.7934,-73.4151,62.47,66,0,1.99,69.55
186,Manitowoc,US,44.0667,-87.8001,54.43,86,85,5.99,75.09
187,Saint George,US,37.1041,-113.5841,67.87,11,0,18.01,68.63
188,Ulhasnagar,IN,19.2167,73.15,84.2,76,71,5.86,84.2
189,Gizo Government Station,SB,-8.103,156.8419,84.87,69,100,7.11,84.87
190,Roald,NO,62.5833,6.1333,46.29,87,100,11.5,48.16
191,Goiás,BR,-15.5807,-49.6362,72.19,50,79,1.88,72.19
192,Amparafaravola,MG,-17.5833,48.2167,60.85,92,39,3.78,60.85
193,Worthington,US,40.0931,-83.018,80.64,25,0,6.91,82.45
194,Tonekābon,IR,36.8163,50.8738,58.3,85,16,3.65,58.3
195,Komsomolets,KZ,53.7453,62.0708,42.62,60,2,5.26,42.62
196,Nome,US,64.5011,-165.4064,41.07,81,75,17.27,41.07
197,Ilulissat,GL,69.2167,-51.1,15.35,78,2,8.05,15.35
198,Porto-Novo,BJ,6.4965,2.6036,84.02,83,10,5.86,84.02
199,Helong,CN,42.5397,128.9972,59.47,24,99,3.78,59.47
200,Boende,CD,-0.2167,20.8667,70.83,94,100,0.74,70.83
201,Dauphin,CA,51.1494,-100.0502,62.74,48,0,6.91,62.74
202,Chumikan,RU,54.7183,135.315,33.85,91,100,20.85,33.85
203,Chapais,CA,49.7834,-74.8492,67.78,39,41,7.92,67.78
204,Biak,ID,-0.9131,122.8766,80.56,80,87,1.23,80.56
205,Chui,UY,-33.6971,-53.4616,57.38,65,100,9.84,57.38
206,Faya,SA,18.3851,42.4509,64.92,62,24,1.92,66.31
207,Atar,MR,20.5169,-13.0499,91.22,19,62,10.4,91.22
208,Port Huron,US,42.9709,-82.4249,77.18,28,0,6.91,78.84
209,Barrow,US,71.2906,-156.7887,28.42,86,100,17.27,28.42
210,Semey,KZ,50.4111,80.2275,54.43,44,97,3.87,54.43
211,Klaksvík,FO,62.2266,-6.589,40.12,75,100,23.11,40.12
212,Nísia Floresta,BR,-6.0911,-35.2086,75.58,91,100,5.3,76.01
213,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,53,75,11.18,48.79
214,Zhuhai,CN,22.2769,113.5678,75.27,100,75,3.44,76.86
215,Khatanga,RU,71.9667,102.5,27.34,91,71,15.23,27.34
216,Deqing,CN,30.5448,119.9599,64.94,87,100,2.77,67.95
217,Portales,US,34.1862,-103.3344,94.14,19,61,22.55,95.32
218,Hollola,FI,61.05,25.4333,43.81,86,97,7.45,43.81
219,Flinders,AU,-34.5833,150.8552,64.44,93,100,5.99,65.37
220,Port Pirie,AU,-33.1833,138.0167,57.29,73,63,3.96,57.29
221,Constitución,CL,-35.3333,-72.4167,56.7,64,100,7.54,56.7
222,Dudinka,RU,69.4058,86.1778,31.62,98,100,10.36,31.62
223,Henties Bay,NA,-22.116,14.2845,60.55,74,3,7.76,60.55
224,Voh,NC,-20.9667,164.7,78.75,59,100,9.06,78.75
225,Newberry,US,34.2746,-81.6187,77.56,60,0,5.48,79.18
226,Xining,CN,36.6167,101.7667,51.84,66,4,1.61,51.84
227,Ranong,TH,9.9658,98.6348,76.93,86,94,9.1,76.93
228,Sinnamary,GF,5.3833,-52.95,77.59,88,23,11.27,77.59
229,Jacareacanga,BR,-6.2222,-57.7528,80.13,68,100,1.72,80.13
230,Kukuna,SL,9.4,-12.6667,78.93,81,36,6.04,78.93
231,Meulaboh,ID,4.1363,96.1285,77.07,86,100,4.9,77.07
232,Tezu,IN,27.9167,96.1667,72.01,89,96,1.39,72.01
233,Yambio,SS,4.5721,28.3955,66.94,97,100,4.41,66.94
234,Takoradze,GH,4.8845,-1.7554,80.31,83,51,6.78,80.31
235,Yaonahuac,MX,19.8667,-97.45,63.27,78,27,6.11,63.27
236,Battle Creek,US,42.3212,-85.1797,82.26,57,0,8.05,84.25
237,Kamaishi,JP,39.2667,141.8833,62.8,70,100,9.6,62.8
238,Lázaro Cárdenas,MX,17.9583,-102.2,83.25,64,82,7.99,83.25
239,Dublin,US,37.7021,-121.9358,62.46,49,0,19.57,70.38
240,West Bay,KY,19.3667,-81.4167,81.39,66,40,8.05,83.07
241,Kaitangata,NZ,-46.2817,169.8464,54.73,63,19,7.63,54.73
242,Rockhampton,AU,-23.3833,150.5,73.29,94,75,3.44,73.29
243,Bilibino,RU,68.0546,166.4372,31.84,94,100,7.65,31.84
244,Marktredwitz,DE,50.005,12.0811,62.24,66,33,1.01,65.25
245,Chapleau,CA,47.8405,-83.4034,78.89,29,20,4.61,78.89
246,Vardø,NO,70.3705,31.1107,37.38,100,100,0.0,37.38
247,Verkhoyansk,RU,67.5447,133.385,35.2,94,100,9.31,35.2
248,Ossora,RU,59.2353,163.0719,34.43,97,100,4.79,34.43
249,Pyapon,MM,16.2833,95.6833,81.01,84,97,4.47,81.01
250,Gouré,NE,13.9835,10.2704,91.02,29,78,4.34,91.02
251,Yellowknife,CA,62.456,-114.3525,41.52,60,75,4.61,41.56
252,Puerto Armuelles,PA,8.2833,-82.8667,78.78,83,61,3.13,82.17
253,Aklavik,CA,68.2191,-135.0107,43.38,57,16,4.92,43.38
254,Clarence Town,AU,-32.5833,151.7833,66.69,96,100,6.42,68.99
255,Bereket,TM,39.2446,55.5154,68.49,45,19,5.28,68.49
256,Caravelas,BR,-17.7125,-39.2481,73.06,78,38,6.76,73.06
257,Lavrentiya,RU,65.5833,-171.0,34.57,98,83,6.73,34.57
258,Moose Jaw,CA,50.4001,-105.5344,66.45,27,75,19.57,66.45
259,Mahina,PF,-17.5065,-149.489,83.97,70,75,5.75,83.97
260,Ironton,US,38.5368,-82.6829,79.7,28,0,4.61,82.8
261,Xalpatlahuac,MX,17.4667,-98.6167,81.88,31,18,6.13,81.88
262,East London,ZA,-33.0153,27.9116,60.39,76,3,5.93,60.39
263,Pustoshka,RU,56.3355,29.369,51.82,96,100,7.23,51.82
264,Hong Kong,HK,22.2855,114.1577,77.05,92,100,10.0,77.95
265,Bengkulu,ID,-3.8004,102.2655,77.68,89,92,9.69,77.68
266,Rochegda,RU,62.8,43.25,45.39,57,100,3.98,45.39
267,Bogatoye,RU,53.0601,51.3325,44.2,79,98,17.2,44.2
268,Ankazoabo,MG,-22.2833,44.5167,60.78,76,0,6.91,60.78
269,Filingué,NE,14.3521,3.3168,90.03,15,2,0.4,90.03
270,Maxixe,MZ,-23.8597,35.3472,68.4,83,0,3.29,68.4
271,San Policarpo,PH,12.1791,125.5072,82.26,82,88,8.59,82.26
272,Zenzeli,RU,45.9241,47.0474,50.94,72,62,17.18,50.94
273,Sistranda,NO,63.7256,8.834,46.36,88,100,12.5,46.36
274,Warrnambool,AU,-38.3833,142.4833,62.82,84,99,7.65,62.82
275,La Romana,DO,18.4273,-68.9728,79.16,94,75,5.75,79.16
276,Puerto Ayora,EC,-0.7393,-90.3518,72.55,93,33,3.0,72.55
277,Geelong,AU,-38.1471,144.3607,58.28,96,100,0.0,59.34
278,Guerrero Negro,MX,27.9769,-114.0611,63.84,60,68,26.71,63.84
279,Sechura,PE,-5.5569,-80.8222,69.78,68,18,15.82,69.78
280,Bagdarin,RU,54.4333,113.6,40.6,48,99,10.8,40.6
281,Iqaluit,CA,63.7506,-68.5145,28.13,69,75,12.66,28.13
282,Ambon City,ID,-3.6954,128.1814,80.74,89,20,2.3,80.74
283,Kuusamo,FI,65.9667,29.1833,39.24,93,100,9.22,39.24
284,Itiruçu,BR,-13.5317,-40.1503,62.76,90,68,3.83,62.76
285,Chardara,KZ,41.2547,67.9692,64.11,47,1,5.17,64.11
286,Ozernovskiy,RU,51.5,156.5167,39.15,88,17,8.16,39.15
287,Gold Coast,AU,-28.0,153.4333,73.85,85,100,17.27,75.27
288,Mandalgovi,MN,45.7625,106.2708,31.14,35,6,19.08,31.14
289,Salalah,OM,17.0151,54.0924,85.95,23,24,9.57,85.95
290,Praia,CV,14.9215,-23.5087,73.94,68,0,17.27,73.94
291,Banda Aceh,ID,5.5577,95.3222,81.14,75,100,13.18,81.14
292,Saint-Félicien,CA,48.6501,-72.4491,75.88,29,75,9.22,75.88
293,Nioro,GM,13.35,-15.75,76.98,61,61,9.22,76.98
294,Jalu,LY,29.0331,21.5482,71.83,50,100,11.05,71.83
295,Padang,ID,-0.9492,100.3543,75.25,92,100,6.87,75.25
296,Provideniya,RU,64.3833,-173.3,42.91,70,40,15.99,42.91
297,Khovd,MN,48.0056,91.6419,38.84,25,99,1.1,38.84
298,Cayenne,GF,4.9333,-52.3333,80.1,1,75,4.61,80.1
299,Bako,ET,5.7833,36.5667,62.85,84,86,3.91,62.85
300,Pisco,PE,-13.7,-76.2167,66.25,77,0,4.61,66.25
301,Kuching,MY,1.55,110.3333,75.42,100,20,3.44,75.42
302,Rock Sound,BS,24.9,-76.2,75.07,72,6,7.74,75.07
303,Misratah,LY,32.3754,15.0925,62.85,75,29,4.61,62.85
304,Margate,GB,51.3813,1.3862,50.49,87,19,1.99,51.87
305,Walvis Bay,NA,-22.9575,14.5053,56.35,76,13,4.61,56.35
306,Hearst,CA,49.6835,-83.6665,79.05,31,81,3.94,79.05
307,Eureka,US,40.8021,-124.1637,57.67,66,48,7.31,59.2
308,Pangai,TO,-19.8,-174.35,78.91,73,75,10.36,78.91
309,Mayen,DE,50.3333,7.2167,62.44,87,38,7.52,65.39
310,Oslob,PH,9.5211,123.4315,84.24,80,43,7.45,84.24
311,Luga,RU,58.7372,29.8453,45.37,92,100,4.85,45.37
312,Porto Velho,BR,-8.7619,-63.9039,78.85,89,20,1.14,78.85
313,Sangar,RU,63.9242,127.4739,32.7,89,100,11.05,32.7
314,Oktyabr'skiy,RU,54.4815,53.471,42.06,73,11,10.56,42.06
315,Darhan,MN,49.4867,105.9228,42.26,35,83,16.22,42.26
316,Saldanha,ZA,-33.0117,17.9442,44.65,81,0,3.85,44.65
317,Katsuura,JP,35.1333,140.3,68.4,82,100,9.04,68.4
318,Jishou,CN,28.3167,109.7167,62.46,95,100,1.01,62.46
319,Nyurba,RU,63.2842,118.3319,37.94,98,84,4.83,37.94
320,Haukipudas,FI,65.1765,25.3523,37.45,92,96,7.45,37.45
321,Sault Ste. Marie,CA,46.5168,-84.3333,71.51,51,100,5.75,75.49
322,Cap Malheureux,MU,-19.9842,57.6142,74.46,86,20,7.18,74.46
323,Kavaratti,IN,10.5669,72.642,84.52,66,99,14.54,84.52
324,Krasnosel'kup,RU,65.7,82.4667,34.66,100,100,4.14,34.66
325,Arlit,NE,18.7369,7.3853,87.24,12,0,12.1,87.24
326,Moundou,TD,8.5667,16.0833,83.25,57,90,3.78,83.25
327,Buala,SB,-8.145,159.5921,85.14,67,100,3.76,85.14
328,Laguna de Duero,ES,41.5815,-4.7233,65.62,59,0,4.61,66.04
329,Coruripe,BR,-10.1256,-36.1756,76.39,80,11,5.48,76.39
330,Berdigestyakh,RU,62.0989,126.6992,39.94,85,100,5.14,39.94
331,Laichow,CN,37.1717,119.9214,62.1,51,74,7.52,62.1
332,Port Lincoln,AU,-34.7333,135.8667,61.83,74,20,2.39,61.83
333,Oranjestad,AW,12.524,-70.027,80.55,83,20,18.41,80.55
334,Warri,NG,5.5167,5.75,76.33,93,58,3.58,76.33
335,Toamasina,MG,-18.1667,49.3833,69.8,94,40,5.75,69.8
336,Blacklick Estates,US,39.9051,-82.8643,78.48,68,34,6.85,82.81
337,Oytal,KZ,42.9057,73.2697,55.62,75,89,4.03,55.62
338,Ndjolé,GA,-0.1783,10.7649,76.08,96,100,1.43,76.08
339,Columbus,US,39.9612,-82.9988,79.68,30,0,8.05,82.92
340,Puerto Madero,MX,14.7208,-92.4215,84.96,69,86,4.83,84.96
341,Abasolo,MX,20.45,-101.5167,80.92,29,33,18.68,80.92
342,Ile-Ife,NG,7.4667,4.5667,72.5,99,66,2.3,72.5
343,Quzhou,CN,28.9594,118.8686,64.98,98,100,5.3,64.98
344,Coahuayana Viejo,MX,18.7333,-103.6833,86.18,55,89,5.77,86.18
345,Byron Bay,AU,-28.65,153.6167,73.29,70,100,16.17,73.29
346,Beringovskiy,RU,63.05,179.3167,37.81,88,39,5.75,37.81
347,Viedma,AR,-40.8135,-62.9967,50.25,85,99,9.73,50.25
348,Vostok,RU,46.4856,135.8833,47.19,63,100,4.92,47.19
349,Bergkamen,DE,51.6333,7.6333,57.83,88,100,10.36,59.29
350,Ampanihy,MG,-24.7,44.75,61.95,92,0,5.77,61.95
351,Chiautla,MX,19.5333,-98.8833,74.79,30,3,14.83,74.95
352,Linxia Chengguanzhen,CN,35.6003,103.2064,53.74,74,0,2.51,53.74
353,Kasulu,TZ,-4.5767,30.1025,64.65,90,68,3.44,64.65
354,Camaná,PE,-16.6228,-72.7111,66.29,83,1,7.27,66.29
355,Chumphon,TH,10.3333,98.8333,74.44,95,96,2.19,74.44
356,Kropotkin,RU,45.4375,40.5756,41.79,94,26,8.08,41.79
357,Jumla,NP,29.2747,82.1838,55.42,89,73,2.04,55.42
358,Ojinaga,MX,29.5667,-104.4167,101.35,22,0,16.11,105.42
359,La Rioja,ES,42.25,-2.5,55.18,98,100,3.51,55.18
360,Lima,PE,-12.0432,-77.0282,69.91,71,75,8.05,69.91
361,Dordrecht,NL,51.81,4.6736,52.88,83,52,4.0,55.53
362,Shām Churāsi,IN,31.4997,75.7494,84.22,36,0,9.53,84.22
363,Spruce Grove,CA,53.5334,-113.9187,59.56,33,0,2.3,60.94
364,Curaçá,BR,-8.9903,-39.9094,80.51,52,100,8.55,80.51
365,Kikwit,CD,-5.041,18.8162,68.54,98,88,1.3,68.54
366,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,78,40,9.22,74.39
367,Diamantino,BR,-14.4086,-56.4461,77.74,59,93,3.98,77.74
